author	author_gender	Count
Beringer, Joachim	NA	    2
Berington, Joseph (1746-1827)	ambiguous	    4
Berington, Simon (1680-1755)	ambiguous	    1
Berington, Thomas	NA	    1
Berkeley, George (1685-1753)	ambiguous	    9
Berkeley, John (NA-1678)	NA	    3
Berkeley, William (1608-1677)	ambiguous	    2
Berkenhout, John (1730-1791)	NA	    2
Berkley, George (NA-1747)	ambiguous	    1
Berkshire, Charles Howard (1615-1679)	ambiguous	    1
Bernard, Edward (1638-1696)	NA	    1
Bernard, John	NA	    1
Bernard, Nicholas (NA-1661)	NA	    7
Bernard, Richard (1568-1641)	ambiguous	    3
Bernhard,  (1604-1639)	male	    1
Bernier, François (1620-1688)	NA	    3
Beroald, Matthieu (NA-1576)	male	    1
Berriman, William (1688-1750)	ambiguous	    3
Berry, Edward (1768-1831)	NA	    1
Bertezen, Salvatore (1780-1792)	NA	    2
Berthollet, Claude-louis (1748-1822)	NA	    1
Bertrand-de-molleville, Ant -fr (1744-1818)	ambiguous	    7
Berwick, James Fitzjames (1670-1734)	NA	    1
Besongne, Nicholas (NA-1697)	NA	    2
Besongne, Nicolas (NA-1697)	NA	    1
Besse, Joseph (1683-1757)	ambiguous	    2
Best, Paul (1590-1657)	ambiguous	    2
Best, William (1695-1761)	ambiguous	    1
Bethel, Hugh	NA	    1
Bethel, Isaac Burke	ambiguous	    1
Bethel, Slingsby (1617-1697)	NA	   13
Bevan, Joseph Gurney (1753-1814)	ambiguous	    1
Beveridge, Andrew	NA	    1
Beverley, Robert (1673-1722)	ambiguous	    4
Beverley, Thomas	NA	    1
Bew, Thomas	NA	    1
Bèze, Théodore De (1519-1605)	ambiguous	    4
Bibliander, Theodorus (1504-1564)	ambiguous	    1
Bicheno, J (NA-1831)	NA	    7
Bickerstaff, Isaac	NA	    1
Bicknell, Alexander (NA-1796)	ambiguous	    3
Bicknell, John	NA	    2
Bigland, Ralph (1711-1784)	ambiguous	    3
Bigot De Sainte-croix, Louis Claude (1744-1803)	ambiguous	    4
Bilain, Antoine (NA-1672)	ambiguous	    2
Bilbrough, John	NA	    1
Billaud-varenne,  (1756-1819)	NA	    1
Bill, Edward	NA	    1
Billerbeg, Franciscus De	ambiguous	    1
Billing, R	NA	    1
Billingsley, John (1657-1722)	NA	    2
Billingsley, Nicholas (1633-1709)	NA	    2
Bingham, Joseph (1668-1723)	ambiguous	    2
Bingley, William (1651-1715)	ambiguous	    3
Bingley, William (1738-1799)	ambiguous	    2
Binney, Barnabas (1751-1787)	male	    1
Biondi, Giovanni Francesco (1572-1644)	ambiguous	    3
Bion, Jean François (1668-1735)	ambiguous	    1
Birchensha, John (1664-1672)	NA	    1
Birch, John (1745-1815)	NA	    1
Birchley, William (1613-1669)	ambiguous	    2
Birch, Thomas (1755-1766)	NA	    4
Birch, Thomas Ledlie (NA-1808)	NA	    2
Bird, Benjamin	ambiguous	    3
Bird, Samuel (1724-1784)	NA	    1
Birkenhead, John (1616-1679)	NA	    8
Bisbie, Nathaniel (1635-1695)	NA	    1
Biscoe, Richard (1670-1748)	ambiguous	    1
Bishop, Abraham	ambiguous	    2
Bishop, George (NA-1668)	ambiguous	    5
Bishop, Henry	ambiguous	    1
Bispham, Thomas	NA	    1
Bisse, Thomas (NA-1731)	NA	    3
Bizardière, La	ambiguous	    2
Black, 	ambiguous	    1
Blackburne, Francis (1705-1787)	ambiguous	    1
Blackburn, J (NA-1762)	NA	    1
Black, John	NA	    1
Blackmore, Richard (NA-1729)	ambiguous	    1
Blackstone, William (1723-1780)	ambiguous	    3
Blackwall, Anthony (1674-1730)	NA	    1
Blackwell, Thomas (1701-1757)	NA	    8
Black, William (1749-1745)	ambiguous	    8
Blackwood, Adam (1539-1613)	ambiguous	    3
Blacow, Richard (1724-1760)	ambiguous	    3
Bladen, Martin (1680-1745)	ambiguous	    2
Bladen, W	NA	    3
Blagge, Benjamin	ambiguous	    2
Blagrave, Charles	ambiguous	    1
Blague, Thomas	NA	    1
Blair, 	ambiguous	    1
Blair, Hugh (1718-1800)	NA	   19
Blair, John (NA-1782)	NA	    1
Blair, Samuel (1712-1751)	NA	    1
Blaithwaite, Mary	ambiguous	    1
Blake, James (1649-1728)	NA	    1
Blakeway, Robert (1689-NA)	ambiguous	    1
Blanchard, Pierre Louis (1758-1826)	ambiguous	    1
Blanchevile, Margaret	ambiguous	    1
Blanch, John (1650-NA)	NA	    2
Blanch, N	NA	    1
Blandie, William	ambiguous	    1
Bland, John	NA	    1
Bland, Peter	NA	    3
Bland, Richard (1710-1776)	ambiguous	    1
Blatchford, John (1762-1794)	NA	    4
Bleecker, Ann Eliza (1752-1783)	NA	    1
Blenerhasset, Thomas	NA	    2
Blenman, Jonathan	NA	    2
Blennerhassett, William	ambiguous	    1
Bligh, Reginald	NA	    1
Blight, Francis	ambiguous	    1
Blodget, Samuel (1724-1807)	NA	    2
Blois, W	NA	    1
Blomefield, Francis (1705-1752)	ambiguous	    1
Bloomfield, Joseph (1753-1823)	ambiguous	    1
Blouin De La Piquetierre, Michel	ambiguous	    1
Blount, Charles (1654-1693)	ambiguous	    6
Blount, Thomas (1618-1679)	NA	    6
Blount, Thomas Pope (1649-1697)	NA	    1
Boate, Arnold (1600-1653)	NA	    1
Bobbin, Tim (1708-1786)	ambiguous	    1
Boece, Hector (1465-1536)	ambiguous	    2
