original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
14 cm.	NA	NA	14.0	FALSE	16mo	11.0	14.0	 0	 154.00	   1
12mo	12mo	NA	NA	FALSE	12mo	12.5	19.0	 0	 237.50	   1
obl.1/32⁰.	32mo	NA	NA	 TRUE	32mo	12.0	 7.0	 1	  84.00	   1
36 cm (2⁰)	2fo	NA	36.0	FALSE	2fo	24.0	36.0	 0	 864.00	   1
4⁰�	NA	NA	NA	FALSE	NA	NA	NA	 0	NA	   1
50-59 cm.	NA	NA	NA	FALSE	NA	NA	NA	 0	NA	   1
36 cm (1/2⁰)	2fo	NA	36.0	FALSE	2fo	24.0	36.0	 0	 864.00	   1
38 cm (2⁰)	2fo	NA	38.0	FALSE	2fo	25.0	38.0	 0	 950.00	   1
27 cm.	NA	NA	27.0	FALSE	NA	20.0	27.0	NA	 540.00	   1
4⁰ ⁸.⁶.	NA	NA	NA	FALSE	NA	NA	NA	 0	NA	   1
8⁰.;octavo	8vo	NA	NA	FALSE	8vo	13.0	19.0	 0	 247.00	   1
22 x 20 cm.	NA	20	22.0	FALSE	4to	20.0	22.0	 0	 440.00	   1
31cm (1/2⁰)	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   1
40 x 24 cm.	NA	24	40.0	FALSE	2fo	24.0	40.0	 0	 960.00	   1
1/64⁰.	64mo	NA	NA	FALSE	64mo	 5.0	 7.0	 0	  35.00	   1
21 x 33 cm (2⁰)	2fo	21	33.0	FALSE	2fo	21.0	33.0	 0	 693.00	   1
caption title; folio [fewer than 50 pages]	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   1
14 cm. 8⁰	8vo	NA	14.0	FALSE	8vo	10.0	14.0	 0	 140.00	   1
30 x 23 cm.	NA	23	30.0	FALSE	NA	23.0	30.0	NA	 690.00	   1
4.	4to	NA	NA	FALSE	4to	22.0	28.0	 0	 616.00	   1
long24⁰.	24long	NA	NA	FALSE	24long	 9.5	14.0	 0	 133.00	   1
24mo	24mo	NA	NA	FALSE	24mo	 8.5	12.5	 0	 106.25	   1
15 cm.	NA	NA	15.0	FALSE	16mo	12.0	15.0	 0	 180.00	   1
obl. 2⁰.	2fo	NA	NA	 TRUE	2fo	45.0	30.0	 1	1350.00	   1
2⁰ (51 cm.).	2fo	NA	51.0	FALSE	2fo	32.0	51.0	 0	1632.00	   1
4⁰, 2⁰ and 1⁰.	NA	NA	NA	FALSE	NA	NA	NA	 0	NA	   1
43 x 27 cm.	NA	27	43.0	FALSE	2fo	27.0	43.0	 0	1161.00	   1
28 x 21 cm.	NA	21	28.0	FALSE	4to	21.0	28.0	 0	 588.00	   1
46-50 cm.	NA	NA	NA	FALSE	NA	NA	NA	 0	NA	   1
20-21 cm. (4⁰)	4to	NA	NA	FALSE	4to	22.0	28.0	 0	 616.00	   1
56 x 44 cm.	NA	44	56.0	FALSE	1to	44.0	56.0	 0	2464.00	   1
33 x 19 cm.	NA	19	33.0	FALSE	2fo	19.0	33.0	 0	 627.00	   1
53 x 42 cm.	NA	42	53.0	FALSE	1to	42.0	53.0	 0	2226.00	   1
13 cm (12⁰)	12mo	NA	13.0	FALSE	12mo	13.0	20.0	 0	 260.00	   1
s.sh. fol.	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   1
19 cm. (4⁰)	4to	NA	19.0	FALSE	4to	16.0	19.0	 0	 304.00	   1
2⁰(12).	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   1
26 cm.	NA	NA	26.0	FALSE	4to	20.0	26.0	 0	 520.00	   1
24 x 20 cm.	NA	20	24.0	FALSE	4to	20.0	24.0	 0	 480.00	   1
1⁰. set fun cat mai/upd	1to	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   1
8�.	NA	NA	NA	FALSE	NA	NA	NA	 0	NA	   1
50 cm.	NA	NA	50.0	FALSE	NA	32.0	50.0	NA	1600.00	   1
19 x 15 cm.	NA	15	19.0	FALSE	NA	15.0	19.0	NA	 285.00	   1
42 cm.	NA	NA	42.0	FALSE	2fo	27.0	42.0	 0	1134.00	   1
23 cm. (4⁰)	4to	NA	23.0	FALSE	4to	18.0	23.0	 0	 414.00	   1
4⁰ (32 cm.).	4to	NA	32.0	FALSE	4to	25.0	32.0	 0	 800.00	   1
15 cm (8⁰)	8vo	NA	15.0	FALSE	8vo	11.0	15.0	 0	 165.00	   1
20 cm. 4⁰	4to	NA	20.0	FALSE	4to	17.0	20.0	 0	 340.00	   1
oblong 1⁰.	NA	NA	NA	 TRUE	NA	NA	NA	 1	NA	   1
39-45 cm (2⁰)	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   1
33 x 26 cm.	NA	26	33.0	FALSE	NA	26.0	33.0	NA	 858.00	   1
34 x 20 cm.	NA	20	34.0	FALSE	2fo	20.0	34.0	 0	 680.00	   1
8⁰ in 4's.	8vo	NA	NA	FALSE	8vo	13.0	19.0	 0	 247.00	   1
s.sh.4⁰.	NA	NA	NA	FALSE	NA	NA	NA	 0	NA	   1
4⁰ in 6's.	4to	NA	NA	FALSE	4to	22.0	28.0	 0	 616.00	   1
43 x 33 cm.	NA	33	43.0	FALSE	1to	33.0	43.0	 0	1419.00	   1
obl.12⁰.	12mo	NA	NA	 TRUE	12mo	19.0	12.5	 1	 237.50	   1
1⁰..	1to	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   1
39 x 21 cm.	NA	21	39.0	FALSE	2fo	21.0	39.0	 0	 819.00	   1
23 cm (8⁰)	8vo	NA	23.0	FALSE	8vo	15.0	23.0	 0	 345.00	   1
12 cm.	NA	NA	12.0	FALSE	NA	 9.0	12.0	NA	 108.00	   1
4.8 cm.	NA	NA	 4.8	FALSE	64mo	 4.0	 4.8	 0	  19.20	   1
21 x 34 cm.	NA	21	34.0	FALSE	2fo	21.0	34.0	 0	 714.00	   1
oblong 4⁰?	4long	NA	NA	 TRUE	4long	35.0	27.0	 1	 945.00	   1
