"metadata_ESTCID,""Freq"",""TotalLength"""
"W020115,""2"",""95926"""
"T144707,""4"",""67503"""
"T038426,""2"",""2693"""
"T131363,""2"",""22153"""
"W042119,""2"",""264378"""
"P006290,""2"",""201951"""
"T067085,""2"",""16931"""
"T065454,""2"",""29503"""
"T105987,""6"",""95790"""
"T202252,""2"",""30208"""
"N024418,""2"",""16811"""
"T110033,""2"",""10618"""
"T096550,""6"",""95807"""
"N044500,""2"",""29594"""
"T044737,""2"",""75299"""
"T106273,""2"",""10651"""
"T145210,""32"",""327834"""
"T041423,""2"",""5796"""
"T021597,""2"",""10769"""
"T090453,""4"",""354367"""
"T048793,""2"",""10605"""
"T132173,""2"",""133355"""
"T108574,""2"",""16448"""
"T054560,""2"",""10612"""
"T132005,""2"",""14828"""
"T145647,""2"",""185676"""
"T090071,""2"",""17375"""
"P002031,""2"",""363662"""
"T047974,""2"",""7866"""
"W029654,""2"",""29175"""
"T146092,""2"",""71983"""
"T222834,""2"",""23809"""
"T064233,""2"",""274525"""
"T107698,""2"",""10660"""
"T006692,""2"",""16591"""
"T033673,""2"",""47395"""
"T002805,""2"",""16440"""
"T063346,""2"",""42269"""
"T069213,""4"",""118221"""
"N006553,""2"",""66041"""
"T093359,""4"",""10551"""
"T033671,""2"",""25585"""
"N032919,""2"",""17137"""
"N069462,""2"",""5645"""
"T082477,""2"",""121363"""
"T167579,""2"",""33583"""
"N012639,""2"",""7337"""
"T109345,""2"",""116683"""
"T037266,""2"",""10648"""
"T099601,""2"",""16724"""
"W031226,""2"",""4188"""
"T106560,""100"",""1067955"""
"T139263,""6"",""1054236"""
"T063095,""2"",""44931"""
"N052193,""2"",""185743"""
"T089825,""4"",""122034"""
"T101742,""4"",""474441"""
"T146094,""4"",""86782"""
"T080890,""2"",""167881"""
"N017775,""2"",""263629"""
"T079287,""4"",""387183"""
"T106230,""2"",""117400"""
"T055320,""2"",""167880"""
"T079698,""10"",""68704"""
"T126607,""14"",""677906"""
"T114485,""2"",""355609"""
"N047629,""2"",""34994"""
"T082472,""4"",""122604"""
"N052201,""8"",""273123"""
"T107371,""10"",""66570"""
"T178997,""12"",""117390"""
"T116228,""4"",""42134"""
"T048833,""2"",""349602"""
"T136148,""2"",""370155"""
"T187076,""6"",""117249"""
"T137258,""2"",""21898"""
"T055302,""4"",""116619"""
"T076205,""2"",""66091"""
"T110070,""2"",""124946"""
"T084914,""2"",""7291"""
"T064481,""2"",""273190"""
"T027019,""2"",""123936"""
"T145504,""14"",""492094"""
"T116228,""4"",""42388"""
"T153300,""2"",""116784"""
"T167076,""2"",""118094"""
"T147250,""2"",""100320"""
"T138965,""8"",""262297"""
"T100096,""2"",""677482"""
"T055322,""2"",""127708"""
"T116228,""8"",""42310"""
"T167536,""2"",""342408"""
"T055301,""8"",""342616"""
"T167561,""2"",""186075"""
"T135596,""6"",""124129"""
"N007471,""2"",""89744"""
"T144217,""2"",""168378"""
"T135893,""36"",""690550"""
"T111489,""14"",""486939"""
"T178997,""2"",""118022"""
"T148702,""4"",""121637"""
"T080888,""2"",""85801"""
"T078361,""2"",""268222"""
"N015001,""6"",""121781"""
"T151984,""6"",""90108"""
"T089543,""2"",""67440"""
"T012215,""2"",""23396"""
"T138966,""4"",""265603"""
"T016530,""4"",""65568"""
