"location","unified_form","url","parent_location","level"
"Hermitage-Bridge","","","",6
"Hertford Street","","","",6
"Hertford-Street","","","",6
"High Holborn","","","",
"high Holbourn","","","",
"High Street","","","",6
"High-Holborn","","","",
"High-Street","","","",6
"High-street","","","",6
"High-Town","","","",
"Highstreet","","","",6
"Hillyard's Court","","","",6
"his Circulating Library","","","",7
"his circulating library","","","",7
"his Circulating-Library","","","",7
"his house","","","",7
"his House","","","",7
"his music-shop","","","",
"his printing-office","","","",
"his shop","","","",
"his Shop","","","",
"his shops","","","",
"his warehouse","","","",7
"his wholesale Warehouse","","","",7
"hive of liberty","","","",
"Holborn","","","",
"Holborn-Hill","","","",
"Holborn.","","","",
"Holbourn","","","",
"Holdorn","","","",
"Holywell Street","","","",6
"Holywell-Street","","","",6
"Homer's Head","","","",
"Homer's-Head","","","",
"Horace's Head","","","",
"Horse-Fair","","","",
"Horse-Guard","","","",
"Horse-Guards","","","",
"Hospitall","","","",
"Houghton Park","","","",
"Houghton-Street","","","",6
"Houndsditch","","","",
"Howland Street","","","",6
"Hucklersbury","","","",
"Hull","","","",
"Husband Street","","","",6
"Indian-Queen","","","",
"Infirmary","","","",
"Ingram-Court","","","",6
"Inigo Jones's Head","","","",
"Inner Temple Gate","","","",6
"Inner-Temple Gate","","","",6
"Inner-Temple Lane","","","",6
"Inner-Temple-Gate","","","",6
"Inner-Temple-Lane","","","",6
"inner-temple-lane","","","",6
"Ipswich","","","",
"Ireland","","","",
"Ireland-Yard","","","",6
"Ivy-Lane","","","",6
"James-Street","","","",6
"James-street","","","",6
"James's Street","","","",6
"James's-Street","","","",6
"Jensen-Street","","","",6
"Jermyn-Street","","","",6
"Jewin Street","","","",6
"Jewin-Street","","","",6
"Jewry Street","","","",6
"Jewry-Street","","","",6
"Jewry-street","","","",6
"Jewry-Street-Chapel","","","",7
"John-Street","","","",6
"John's-Street","","","",6
"Johnson's Head","","","",
"Jonathan's Coffee-House","","","",7
"Judge Coke's Head","","","",
"Judge's Head","","","",
"Jury Street","","","",6
"Jury-street","","","",6
"Jury-Street","","","",6
"Juvenal's Head","","","",
"Katharine-Street","","","",6
"Katharine-street","","","",6
"Katherine Street","","","",6
"Katherine-Street","","","",6
"Katherine-street","","","",6
"Kent","","","",
"Kent Street","","","",6
"Kevan's-Port","","","",
"Kevin-Street","","","",6
"Kilby Street","","","",6
"Kilby-Street","","","",6
"King Street","","","",6
"King-Street","","","",6
"King-street","","","",6
"King's Arms","","","",
"King's Street","","","",6
"King's Theatre","","","",7
"King's-Arms","","","",
"King's-Arms-Tavern","","","",7
"King's-Bench","","","",
"King's-Head","","","",
"King's-Street","","","",6
"Kings Arms","","","",
"Kings Street","","","",6
"Kings-Head","","","",
"Kingstreet","","","",6
"Kirby Street","","","",6
"Lamb","","","",
"Lamb and Bible","","","",
"Lamb's Conduit Street","","","",6
"Lamb's Conduit-Street","","","",6
"Lamb's-Conduit-Street","","","",6
"Lammas-Street","","","",6
"Lawn-Market","","","",
"lawn-market","","","",
"Lawrence's-Street","","","",6
"Leaden-Hall Street","","","",6
"Leaden-Hall-Street","","","",6
"Leadenball Street","","","",6
"Leadenball-Street","","","",6
"Leadenhall Street","","","",6
"Leadenhall-Street","","","",6
"Leadenhall-street","","","",6
"Leadenhall-Street London","","","",6
"Leadenhull-Street","","","",6
"Leadexhall Street","","","",6
"Leadon-Hall Street","","","",6
"Leech Street","","","",6
"Leeds","","","",
"Leeds?","","","",
"Leg and Star","","","",
"Leg-Tavern","","","",7
"Leicester","","","",
"Leicester Square","","","",6
"Leicester Street","","","",6
"Leicester-Fields","","","",
"Leicester-Square","","","",6
"Leith","","","",
"Leman-Street","","","",6
"Lendenhall-street","","","",6
"Liberton's Wynd","","","",
"Liberty Street","","","",6
"Liberty-Street","","","",6
"Light-Street","","","",6
"Lime-Street","","","",6
"Lincoln's Inn","","","",
"Lincoln's Inn Fields","","","",
"Lincoln's-Inn","","","",
"Lincoln's-Inn Fields","","","",
"Lincoln's-Inn-Fields","","","",
"Lincoln's-Inn-Square","","","",6
"Lincolns-Inn","","","",
"Lincolns-Inn Fields","","","",
"Lincolns-Inn-Fields","","","",
"Lincolnshire","","","",
"Lisle-Street","","","",6
"Litchfield","","","",
"Litile-Tower-Street","","","",6
"Little Britain","","","",
"Little Brittain","","","",
"Little Catherine-Street","","","",6
"Little Catherine-street","","","",6
"Little Chapel-Street","","","",6
"Little Green Street","","","",6
"Little Knight-Rider-Street","","","",6
"Little Moorgace","","","",
"Little Newport-Street","","","",6
"Little Pulteney-Street","","","",6
"Little Queen Street","","","",6
"Little Queen-Street","","","",6
"Little Stanhope-Street","","","",6
