volumes	parts	pages.original	count
1	NA	[4],79,[5]p.	5
1	NA	152,151-573,[1]p.,plates	5
1	NA	94p.	5
1	NA	53,[3]p.	5
1	NA	viii,376p.	5
7	NA	v.2-8	5
1	NA	78,[2]p.	5
1	NA	[10]p.	5
1	NA	[2], 74 p.	5
1	NA	[2],52p.	5
1	NA	8 p	5
1	NA	8+ p.	5
1	NA	[112] p.	5
1	NA	[34] p.	5
1	NA	[4], 9, [3] p.	5
1	NA	[68] p.	5
1	NA	[15] p.	5
1	NA	[8], 31, [1] p.	5
1	NA	1 sheet (1 p.).	5
1	NA	[8], 59, [1] p.	5
1	NA	[76] p.	5
1	NA	[86] p.	5
1	NA	[2], 39, [1] p.	5
1	NA	[42] p.	5
1	NA	[2], 65, [1] p.	5
1	NA	[160] p.	5
1	NA	[4], 47, [1] p.	5
1	NA	[140] p.	5
1	NA	[8], 128 p.	5
1	NA	[4], 45, [1] p.	5
1	NA	[4], 58, [2] p.	5
1	NA	[2], 60, [2] p.	5
1	NA	[36], 47, [1] p.	5
1	NA	[2], 70 p.	5
1	NA	[2], 6, [4] p.	5
1	NA	[6], 14 p.	5
1	NA	[3], 13 p.	5
1	NA	[8], 229, [1] p.	5
1	NA	[4], 99, [1] p.	5
1	NA	[8], 88 p.	5
1	NA	[4], 3, [1] p.	5
1	NA	8, [8] p.	5
1	NA	[6], 30 p.	5
1	NA	[8], 96 p.	5
1	NA	[4], 22, [2] p.	5
1	NA	[4], 60 p.	5
1	NA	[6], 25, [1] p.	5
1	NA	1 sheet ([1]p.)	5
1	NA	[6], 9, [1] p.	5
1	NA	[6], 50 p.	5
1	NA	[4], 80 p.	5
1	NA	[2], 56 p.	5
1	NA	8, 7-12, [2] p.	5
1	NA	2, [6] p.	5
1	NA	[2], 3, 6-7, [1] p.	5
27	NA	27 v.	5
18	NA	18 v.	5
13	NA	13 v.	5
12	NA	12 v.	5
28	NA	28 v.	5
18	NA	18 v., plates	5
1	NA	192 p.	4
1	NA	112 p.	4
1	NA	[18], 37, [1] p.	4
1	NA	68 p.	4
1	NA	88 p.	4
1	NA	132 p.	4
1	NA	[22], 372, [10] p.	4
1	NA	28, [4] p.	4
1	NA	[8] leaves	4
1	NA	152 p.	4
1	NA	[8], 135, [1] p.	4
1	NA	[18] p.	4
1	NA	[6], 46 p.	4
1	NA	1 p.	4
1	NA	98 p.	4
1	NA	95-96 p.	4
1	NA	3-5 p.	4
1	NA	9 p.	4
1	NA	[2], 123-130 p.	4
1	NA	[2], 3-12 p.	4
1	NA	7-9, [1] p.	4
1	NA	[2], 159-171, [1] p.	4
1	NA	[2], 99-111, [1] p.	4
1	NA	108 p.	4
1	NA	[26] p.	4
1	NA	? p.	4
1	NA	54 p.	4
1	NA	1 sheet [2] p.	4
1	NA	94 p.	4
1	NA	78, [2] p.	4
1	NA	[10], 38 p.	4
1	NA	[6],34p.	4
1	NA	[4],46p.	4
1	NA	118,[2]p.	4
1	NA	93,[1]p.	4
1	NA	32,[2]p.	4
1	NA	51, [1] p.	4
1	NA	29,[3]p.	4
1	NA	[2],64,[2]p.	4
1	NA	[2],24,[2]p.	4
1	NA	[4],26,[2]p.	4
1	NA	[2],293,[1]p.	4
1	NA	[4],25,[1]p.	4
1	NA	[4],12p.	4
1	NA	136p.	4
1	NA	[2],44,[2]p.	4
1	NA	111,[1]p.	4
1	NA	[4],29,[1]p.	4
1	NA	[4],16p.	4
1	NA	[2],20,[2]p.	4
1	NA	33,[3]p.	4
1	NA	17,[3]p.	4
1	NA	[8],463,[25]p.	4
1	NA	[2],101,[1]p.	4
1	NA	91,[5]p.	4
1	NA	41, [1] p.	4
1	NA	120p.	4
1	NA	86,[2]p.	4
1	NA	[2],73,[1]p.	4
1	NA	116p.	4
1	NA	[2], 80 p.	4
1	NA	118, [2] p.	4
1	NA	119,[1]p.	4
1	NA	69,[1]p.	4
1	NA	[4],66,[2]p.	4
1	NA	[8],72p.	4
1	NA	[4],xxxi,[1],*4,199,[11]p.	4
1	NA	iv,36p.	4
1	NA	[2],43,[3]p.	4
1	NA	78p.	4
1	NA	[2],93,[1]p.	4
1	NA	[4],84p.	4
