author	author_gender	Count
Al-dīn, Taḣsīn	NA	     1
Al-harı̄rı̄, Al Qāsim Ibn ḁlı̄ (1054-1122)	ambiguous	     2
Al-laṫ-if, àbd (1162-1231)	NA	     5
Al-maʿarrī, Abū (973-1057)	NA	     1
Al-rahbi, Muḥammad Ibn Áli (NA-1183)	male	     1
Al-razzāk, ʿabd	NA	     1
Al-tājir, Sulaymān	NA	     1
Al-zahrāwī, Abū (NA-1013)	NA	     2
Al-ʿafīf, Murtaḍā (1154-1237)	NA	     2
Alabaster, William (1567-1640)	ambiguous	     4
Alamanni, Luigi (1495-1556)	male	     2
Alanson, Edward (1747-1823)	NA	     4
Alanus,  (NA-1202)	NA	     5
Alary, Jean	ambiguous	     1
Alba, Fernando Alvarez De Toledo (1507-1582)		     1
Albani, Annibale (1682-1751)	male	     1
Albanus, Iacobus	NA	     1
Albemarle, Christopher	ambiguous	     1
Albemarle, Elizabeth Monck (1654-1734)	ambiguous	     1
Albemarle, George Monck (1608-1670)	ambiguous	    40
Albemarle, William Charles Keppel (1772-1849)	ambiguous	     1
Alber, Erasmus (1500-1553)	male	     3
Albergati Capacelli, Francesco (1728-1804)	NA	     1
Albermaky, Zamir	male	     1
Alberoni, Giulio (1664-1752)	male	     3
Albert, 	NA	     1
Alberthoma, Robert (1690-1772)	ambiguous	     1
Alberti, Georg Wilhelm (1723-1758)	ambiguous	     1
Alberti, Leone Battista (1404-1472)	ambiguous	     9
Albertus,  (1193-1280)	NA	    12
Albeville, 	NA	     1
Albin De Valsergues, Jean D' (NA-1566)	ambiguous	     1
Albin, Eleazar (1713-1759)	ambiguous	    25
Albin, Henry (1624-1696)	ambiguous	     1
Albin, John (1791-1800)	NA	     1
Albin, Samuel Theodor (1718-1776)	male	     1
Albini, 	ambiguous	     1
Albinus, 	NA	     1
Albinus, Bernhard Siegfried (1697-1770)	male	     5
Albion, 	NA	     2
Albiportanus, 	NA	     1
Albon, Claude-camille-franc̜ois (1753-1789)	NA	     2
Albrecht, H C (1762-1800)	NA	     1
Albrizzi, Giovanni Battista (1698-1777)	ambiguous	     1
Albyn, Benjamin	ambiguous	     4
Alchorne, William	ambiguous	     1
Alcibiades, 	male	     1
Alciphron, 	NA	     1
Alcock, John (1430-1500)	NA	    12
Alcock, John (1647-NA)	NA	     1
Alcock, John (1704-1769)	NA	     1
Alcock, John (1715-1806)	NA	     9
Alcock, John (1740-1791)	NA	     3
Alcock, Mary (NA-1798)	ambiguous	     2
Alcock, Nathan (1707-1779)	NA	     1
Alcock, Thomas (1709-1798)	NA	     9
Alcock, William	ambiguous	     1
Alcoforado, Francisco	ambiguous	     1
Alcos, 	NA	     1
Alcott, Joseph	ambiguous	     1
Aldam, Thomas (1649-1660)	NA	     2
Aldam, Thomas (1649-1723)	NA	     1
Aldborough, Edward Stratford (1741-1801)	male	     4
Aldem, Mordecai (NA-1615)	NA	     1
Alden, Abner (1758-1820)	male	     2
Alden, Timothy (1736-1828)	NA	     1
Alden, Timothy (1771-1839)	NA	     2
Alderman, 	male	     1
Aldersey, Ralph	ambiguous	     1
Alderson, James (1793-1798)	NA	     4
Alderson, John (1721-1764)	NA	     2
Alderson, John (1757-1829)	NA	     4
Alderson, R	NA	     1
Aldington, John	NA	     2
Aldred, Jeremiah	NA	     2
Aldrich, 	male	     1
Aldrich, Bedford	male	     1
Aldrich, Charles (1681-1737)	ambiguous	     1
Aldrich, Henry (1647-1710)	ambiguous	    19
Aldridge, J	NA	     1
Aldridge, Thomas	NA	     1
Aldridge, William (1737-1797)	ambiguous	     7
Aldworth, Richard	ambiguous	     1
Alemán, Mateo (1547-1614)	ambiguous	    14
Alemán, Mateo (1547-1614)	ambiguous	     1
Alembert, Jean Le Rond D' (1717-1783)	ambiguous	     1
Alembert, Jean Lerond D' (1717-1783)	ambiguous	     8
Alemore, Andrew Pringle (NA-1776)	NA	     2
Aler, Paul (1656-1727)	ambiguous	    20
Alesius, Alexander (1500-1565)	ambiguous	     1
Aletheian, Ireneus	male	     2
Alethes, 	NA	     1
Alethes, Clerophilus (1676-1743)	NA	     2
Alethophilus, 	NA	     1
Alethson, Phil	ambiguous	     2
Alex, S	NA	     1
Alexander, 	ambiguous	    20
Alexander,  (1599-1667)	ambiguous	     1
Alexander,  (1610-1691)	ambiguous	     2
Alexander,  (NA-1523)	ambiguous	     2
Alexander, A	NA	     1
Alexander, Andrew	NA	     2
Alexander, Ashton (1772-1855)	ambiguous	     1
Alexander, Benjamin	ambiguous	     1
Alexander, Caleb (1755-1828)	NA	    16
Alexander, Christopher	ambiguous	     1
Alexander, Claud	ambiguous	     1
Alexander, Daniel (1660-1709)	ambiguous	     1
Alexander, Daniel Ben	ambiguous	     3
Alexander, Daniel Tnangam	ambiguous	     2
Alexander, David	ambiguous	     1
Alexander, Disney	NA	     7
Alexander, Elizabeth (1714-NA)	ambiguous	     1
Alexander, Gulielmus	male	     1
Alexander, H	NA	     1
Alexander, James (1691-1756)	NA	     5
Alexander, James (1691-1815)	NA	     2
Alexander, James (1691-1817)	NA	     1
Alexander, James (1691-NA)	NA	     3
Alexander, Jerome	ambiguous	     2
Alexander, Joannes (NA-1690)	male	     1
Alexander, Johannes (NA-1690)	male	     2
Alexander, John	NA	     4
Alexander, John (1638-1716)	NA	     1
Alexander, John (1695-1743)	NA	     1
Alexander, John (1736-1765)	NA	     1
Alexander, John (1769-1792)	NA	     2
Alexander, Judith	ambiguous	     1
Alexander, Patrick	NA	     4
Alexander, Robert (1766-1723)	ambiguous	     1
Alexander, Robert (1766-1773)	ambiguous	     4
Alexander, William	ambiguous	     1
Alexander, William (1685-1704)	ambiguous	     3
Alexander, William (1690-1761)	ambiguous	     2
Alexander, William (1766-NA)	ambiguous	     1
Alexander, William (1783-NA)	ambiguous	     2
Alexander, William (NA-1783)	ambiguous	    14
Alexis, Guillaume (NA-1486)	male	     1
Aleyn, Charles (NA-1640)	ambiguous	     3
Alfield, Thomas (1552-1585)	NA	     1
Alfieri, Vittorio (1749-1803)	NA	     6
Alford, Joseph	ambiguous	     2
Alfred,  (849-899)	NA	     7
Algarotti, Francesco (1712-1764)	NA	    26
Algate, Christopher	ambiguous	     1
Algood, Major (1641-1696)	ambiguous	     1
Ali, Haidar (1722-1782)	male	     1
Aliamet, François Germain (1734-1788)	ambiguous	     1
Alighieri, Dante (1265-1321)	NA	     8
Alimari, Doroteo (1650-1727)	male	     3
Alingham, William (1694-1710)	ambiguous	     7
Aliquis, Bob	NA	     1
Alison, Alexander	ambiguous	     5
Alison, Archibald (1757-1839)	NA	     2
Alison, Francis (1705-1779)	ambiguous	     2
Alison, Hugh (1740-1781)	NA	     2
Alison, Margaret	ambiguous	     1
Alison, Richard (1588-1606)	ambiguous	     3
All-butt, Bobby	ambiguous	     1
All⁻ah, ʿin⁻ayat (NA-1671)	NA	     1
Allāh, Salīm	NA	     1
Allāh, ʿināyat (NA-1671)	NA	     2
