original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
16 x 16 cm.	NA	16.0	NA	FALSE	NA	16.0	15.0	NA	 240.00	     1
45 X 28 cm.	NA	28.0	45.0	FALSE	NA	28.0	45.0	NA	1260.00	     1
11 x 21 cm.	NA	11.0	21.0	FALSE	NA	11.0	21.0	NA	 231.00	     1
13 x 15 cm.	NA	13.0	15.0	FALSE	NA	13.0	15.0	NA	 195.00	     1
19 x 10 cm.	NA	10.0	19.0	FALSE	NA	10.0	19.0	NA	 190.00	     1
22 x 35 cm.	NA	22.0	35.0	FALSE	NA	22.0	35.0	NA	 770.00	     1
34 x 31 cm.	NA	31.0	34.0	FALSE	NA	31.0	34.0	NA	1054.00	     1
36 x 15 cm.	NA	15.0	36.0	FALSE	NA	15.0	36.0	NA	 540.00	     1
10 x 18 cm.	NA	10.0	18.0	FALSE	NA	10.0	18.0	NA	 180.00	     1
12 x 16 cm.	NA	12.0	16.0	FALSE	NA	12.0	16.0	NA	 192.00	     1
11 x 14 cm.	NA	11.0	14.0	FALSE	NA	11.0	14.0	NA	 154.00	     1
(fol.0.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     1
1/2⁰./	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     1
34 x 20 cm. (1/2')	2fo	20.0	34.0	FALSE	2fo	20.0	34.0	 0	 680.00	     1
(1/12')	12mo	NA	NA	FALSE	12mo	12.5	19.0	 0	 237.50	     1
33 x 21 cm. (1/2')	2fo	21.0	33.0	FALSE	2fo	21.0	33.0	 0	 693.00	     1
30 x 19 cm. (1/2')	2fo	19.0	30.0	FALSE	2fo	19.0	30.0	 0	 570.00	     1
17 x 21 cm. (1/4')	4to	17.0	21.0	FALSE	4to	17.0	21.0	 0	 357.00	     1
16 x 17 cm. (1/8')	8vo	16.0	17.0	FALSE	8vo	16.0	17.0	 0	 272.00	     1
24 x 20 cm. (1/4')	4to	20.0	24.0	FALSE	4to	20.0	24.0	 0	 480.00	     1
21 x 16 cm. (1/4')	4to	16.0	21.0	FALSE	4to	16.0	21.0	 0	 336.00	     1
23 x 18 cm. (1/4')	4to	18.0	23.0	FALSE	4to	18.0	23.0	 0	 414.00	     1
(1/4⁰)	4to	NA	NA	FALSE	4to	22.0	28.0	 0	 616.00	     1
11 x 11 cm.	NA	11.0	NA	FALSE	NA	11.0	11.0	NA	 121.00	     1
29 x 13 cm.	NA	13.0	29.0	FALSE	NA	13.0	29.0	NA	 377.00	     1
35 x 18 cm.	NA	18.0	35.0	FALSE	NA	18.0	35.0	NA	 630.00	     1
40 x 15 cm.	NA	15.0	40.0	FALSE	NA	15.0	40.0	NA	 600.00	     1
35 x 48 cm.	NA	35.0	48.0	FALSE	NA	35.0	48.0	NA	1680.00	     1
18 x 20 cm.	NA	18.0	20.0	FALSE	NA	18.0	20.0	NA	 360.00	     1
45 x 52 cm.	NA	45.0	52.0	FALSE	NA	45.0	52.0	NA	2340.00	     1
49 x 35 cm.	NA	35.0	49.0	FALSE	NA	35.0	49.0	NA	1715.00	     1
26 x 28 cm.	NA	26.0	28.0	FALSE	NA	26.0	28.0	NA	 728.00	     1
33x20 cm.	NA	20.0	33.0	FALSE	NA	20.0	33.0	NA	 660.00	     1
47 x 20 cm.	NA	20.0	47.0	FALSE	NA	20.0	47.0	NA	 940.00	     1
7 x 10 cm.	NA	 7.0	10.0	FALSE	NA	 7.0	10.0	NA	  70.00	     1
29 x 44 cm.	NA	29.0	44.0	FALSE	NA	29.0	44.0	NA	1276.00	     1
34 cm. (fol)	2fo	NA	34.0	FALSE	2fo	22.0	34.0	 0	 748.00	     1
33 x 39 cm.	NA	33.0	39.0	FALSE	NA	33.0	39.0	NA	1287.00	     1
9 x 14 cm.	NA	 9.0	14.0	FALSE	NA	 9.0	14.0	NA	 126.00	     1
35 x 31 cm.	NA	31.0	35.0	FALSE	NA	31.0	35.0	NA	1085.00	     1
16 x 5 cm.	NA	 5.0	16.0	FALSE	NA	 5.0	16.0	NA	  80.00	     1
15 x 23 cm.	NA	15.0	23.0	FALSE	NA	15.0	23.0	NA	 345.00	     1
30.2 x 11.3 cm.	NA	11.3	30.2	FALSE	NA	11.3	30.2	NA	 341.26	     1
17 cm. (12mo and 4to)	NA	NA	17.0	FALSE	NA	12.0	17.0	NA	 204.00	     1
21 cm. (8vo and 4to)	NA	NA	21.0	FALSE	NA	14.0	21.0	NA	 294.00	     1
34 x 21.5 cm.	NA	21.5	34.0	FALSE	NA	21.5	34.0	NA	 731.00	     1
16 x 13 cm.	NA	13.0	16.0	FALSE	NA	13.0	16.0	NA	 208.00	     1
43 x 12 cm.	NA	12.0	43.0	FALSE	NA	12.0	43.0	NA	 516.00	     1
46 x 37 cm.	NA	37.0	46.0	FALSE	NA	37.0	46.0	NA	1702.00	     1
20cm.	NA	NA	20.0	FALSE	NA	13.0	20.0	NA	 260.00	     1
27 x 44 cm.	NA	27.0	44.0	FALSE	NA	27.0	44.0	NA	1188.00	     1
44x26cm.	NA	26.0	44.0	FALSE	NA	26.0	44.0	NA	1144.00	     1
14 x 9 cm.	NA	 9.0	14.0	FALSE	NA	 9.0	14.0	NA	 126.00	     1
55 x 42 cm.	NA	42.0	55.0	FALSE	NA	42.0	55.0	NA	2310.00	     1
54 x 39 cm.	NA	39.0	54.0	FALSE	NA	39.0	54.0	NA	2106.00	     1
61 x 41 cm.	NA	41.0	61.0	FALSE	NA	41.0	61.0	NA	2501.00	     1
59 x 42 cm.	NA	42.0	59.0	FALSE	NA	42.0	59.0	NA	2478.00	     1
54 x 46 cm.	NA	46.0	54.0	FALSE	NA	46.0	54.0	NA	2484.00	     1
56 x 41 cm.	NA	41.0	56.0	FALSE	NA	41.0	56.0	NA	2296.00	     1
58 x 41 cm.	NA	41.0	58.0	FALSE	NA	41.0	58.0	NA	2378.00	     1
51 x 44 cm.	NA	44.0	51.0	FALSE	NA	44.0	51.0	NA	2244.00	     1
48 x 37 cm.	NA	37.0	48.0	FALSE	NA	37.0	48.0	NA	1776.00	     1
21 x 27 cm.	NA	21.0	27.0	FALSE	NA	21.0	27.0	NA	 567.00	     1
42 x 20 cm.	NA	20.0	42.0	FALSE	NA	20.0	42.0	NA	 840.00	     1
22 x 10 cm.	NA	10.0	22.0	FALSE	NA	10.0	22.0	NA	 220.00	     1
15 cm. (16 mo)	16mo	NA	15.0	FALSE	16mo	12.0	15.0	 0	 180.00	     1
33 x 43 cm.	NA	33.0	43.0	FALSE	NA	33.0	43.0	NA	1419.00	     1
50 x 31 cm.	NA	31.0	50.0	FALSE	NA	31.0	50.0	NA	1550.00	     1
25 x 29 cm.	NA	25.0	29.0	FALSE	NA	25.0	29.0	NA	 725.00	     1
9 x 12 cm.	NA	 9.0	12.0	FALSE	NA	 9.0	12.0	NA	 108.00	     1
8 x 18 cm.	NA	 8.0	18.0	FALSE	NA	 8.0	18.0	NA	 144.00	     1
89 x 56 cm.	NA	56.0	89.0	FALSE	NA	56.0	89.0	NA	4984.00	     1
8 x 20 cm.	NA	 8.0	20.0	FALSE	NA	 8.0	20.0	NA	 160.00	     1
31 cm. (fol)	2fo	NA	31.0	FALSE	2fo	20.0	31.0	 0	 620.00	     1
11 x 23 cm.	NA	11.0	23.0	FALSE	NA	11.0	23.0	NA	 253.00	     1
26 x 38 cm.	NA	26.0	38.0	FALSE	NA	26.0	38.0	NA	 988.00	     1
20 x 29 cm.	NA	20.0	29.0	FALSE	NA	20.0	29.0	NA	 580.00	     1
24 x 35 cm.	NA	24.0	35.0	FALSE	NA	24.0	35.0	NA	 840.00	     1
18 x 10 cm.	NA	10.0	18.0	FALSE	NA	10.0	18.0	NA	 180.00	     1
32 x 11 cm.	NA	11.0	32.0	FALSE	NA	11.0	32.0	NA	 352.00	     1
50 x 20 cm.	NA	20.0	50.0	FALSE	NA	20.0	50.0	NA	1000.00	     1
38 x 15 cm.	NA	15.0	38.0	FALSE	NA	15.0	38.0	NA	 570.00	     1
23 x 26 cm.	NA	23.0	26.0	FALSE	NA	23.0	26.0	NA	 598.00	     1
31 x 29 cm.	NA	29.0	31.0	FALSE	NA	29.0	31.0	NA	 899.00	     1
ca. 37 x 26 cm.	NA	26.0	37.0	FALSE	NA	26.0	37.0	NA	 962.00	     1
51 x 35 cm.	NA	35.0	51.0	FALSE	NA	35.0	51.0	NA	1785.00	     1
43 x 11 cm.	NA	11.0	43.0	FALSE	NA	11.0	43.0	NA	 473.00	     1
42 x 22 cm.	NA	22.0	42.0	FALSE	NA	22.0	42.0	NA	 924.00	     1
16 x 18 cm.	NA	16.0	18.0	FALSE	NA	16.0	18.0	NA	 288.00	     1
14 cm. (36mo)	NA	NA	14.0	FALSE	NA	11.0	14.0	NA	 154.00	     1
60 x 47 cm.	NA	47.0	60.0	FALSE	NA	47.0	60.0	NA	2820.00	     1
45 x 55 cm.	NA	45.0	55.0	FALSE	NA	45.0	55.0	NA	2475.00	     1
52 x 49 cm.	NA	49.0	52.0	FALSE	NA	49.0	52.0	NA	2548.00	     1
