original	polished	Count
[Frankfort, Ky.	frankfort ky	14
Printed at Concord [N.H.]	Concord NH	14
West-Springfield [Mass.]	West Springfield MA	14
[Gloucester?]	Gloucester	14
A Edinbourg	Edinburgh	14
[Yarmouth?	Yarmouth	14
Market-Harborough	market harborough	14
Oxoni?	Oxford	14
Cantabrigi?	cantabrigi	14
[Wakefield	Wakefield	14
[Perth	Perth	14
[Ewood Hall]	ewood hall	14
Printed in Aberdene	Aberdeen	14
[Imprinted in London	London	14
Francofurti	Frankfurt	14
Printed in Aberdeen	Aberdeen	14
Nottingham [England]	Nottingham	14
[Bridgetown?	Bridgetown Barbados	14
Winchester [Va.]	Winchester VA	13
Londen	London	13
[Leeds?]	Leeds	13
[Baltimore?	Baltimore Md	13
[Colchester	Colchester	13
[Kendal?	Kendal	13
Fredericksburg [Va.]	Fredicksburg VA	13
[Leominster, Mass.?]	Leominster MA	13
[Windsor, Vt.]	Windsor Vt	13
Printed at Boston.	Boston	13
Printed at Walpole, Newhampshire	Walpole NH	13
Watertown [Mass.]	Watertown MA	13
[Boston] America	Boston MA	13
New-Castle [Del.]	new castle del	13
Newport (Rhode-Island)	Newport RI	13
Kingston [Jamaica]	Kingston Jamaica	13
Bury St. Edmunds	Bury St Edmunds	13
[Kilkenny]	Kilkenny	13
Lodon [sic]	London	13
[Londini]	London	13
St. Ives	St Ives	13
[Deptford]	Deptford	13
[Chelmsford?	Chelmsford	13
Amsterdam [i.e. London]	London	13
[Ripon	ripon	13
[Kendal	Kendal	13
Imprinted at Lo[n]don	London	13
Amstelodami	Amsterdam	13
[Imprented at London	London	13
At Rouen	Rouen	13
Imprinted at Antwerp	Antwerp	13
In the Savoy [i.e. London]	London	13
Printed at the Theater in Oxford	Oxford	13
[Peterborough?	Peterborough	12
In London	London	12
[London : s.n.	London	12
Edinburghi	Edinburgh	12
Philadelphie [i.e. Paris]	Paris	12
[Lancaster]	Lancaster PA	12
Printed at Boston in New-England	Boston MA	12
[England]	London	12
[Portsmouth]	Portsmouth	12
[Aylesbury?	aylesbury	12
[London] In the Savoy	London	12
[Newark, N.J.	Newark NJ	12
[Rotterdam	Rotterdam	12
London, printed	London	12
[Norwich, Conn.	Norwich CT	12
Londres [i.e. Hamburg?]	Hamburg	12
[Cambridge, Mass.?	Cambridge MA	12
[Niagara	Niagara	12
[Burlington, N.J.?	Burlington NJ	12
Charleston, South-Carolina	Charleston SC	12
[Salem, Mass.?	Salem MA	12
Elizabeth-town [N.J.]	elizabeth town nj	12
[Worcester, Mass.?	Worcester MA	12
Pittsfield [Mass.]	Mass	12
Newfield [Conn.]	newfield conn	12
Printed at Salem [Mass.]	Salem MA	12
Kingston [N.Y.]	Kingston NY	12
Frankfort [Ky.]	frankfort ky	12
[Westminster, Vt.	Westminster Vt	12
Fairhaven [Vt.]	fairhaven vt	12
[Vepery]	vepery	12
Douay	Douai	12
[Huntingdon?	huntingdon	12
[Rochester]	Rochester	12
[Rotterdam]	Rotterdam	12
[Knaresborough?	Knaresborough	12
[Gloucester]	Gloucester	12
[Wakefield]	Wakefield	12
[Stirling]	Stirling	12
[[Paris]	Paris	12
[[Antwerp]	Antwerp	12
[Antwerp?	Antwerp	12
At Douay	Douai	12
Printed at Antwerp	Antwerp	12
Louanii	London	12
[Saint Omer	St Omer	12
Excudebat Londini	London	12
[[Southwark]	London	12
[Impress. Londini	London	12
[Cambridge, England	Cambridge	12
Hage	The Hague	12
[Douai?	Douai	12
York [England]	York	12
A Rouen	Rouen	11
[Douai]	Douai	11
[Penrith]	Penrith	11
Jamaica	Kingston Jamaica	11
[Stirling?	Stirling	11
Exeter, N.H.	Exeter NH	11
[Colchester?	Colchester	11
[Richmond, Va.	Richmond VA	11
[Savannah?	Savannah Ga	11
[Trenton, N.J.	Trenton NJ	11
[Hamburg?	Hamburg	11
[[New York]	New York NY	11
[Ephrata, Pa.	Ephrata PA	11
Cambridg [i.e., Cambridge, Mass.]	Cambridge MA	11
New-London	New London CT	11
[New-York]	New York NY	11
[New Orleans]	New Orleans La	11
[Augusta, Ga.?	Augusta Ga	11
Westminster [Vt.]	Westminster Vt	11
[Williamsburg, Va.]	Williamsburg VA	11
[Richmond?	Richmond	11
Massachusetts-Bay: Worcester	Worcester MA	11
Providence (Rhode-Island)	Providence RI	11
Newburgh [N.Y.]	Newburgh NY	11
[Augusta, Ga.	Augusta Ga	11
[Poughkeepsie, N.Y.]	Poughkeepsie NY	11
[Germantown, Pa.?	Germantown PA	11
[Plymouth?	Plymouth	11
[Ipswich	Ipswich	11
[Bury St. Edmunds?	Bury St Edmunds	11
Londra [i.e. Venice?]	Venice	11
London [Edinburgh?]	London	11
[The Hague?	The Hague	11
Londini [i.e. Amsterdam]	Amsterdam	11
[Londres]	London	11
[Doncaster?	Doncaster	11
[Dundee	Dundee	11
[Bedford]	bedford	11
England?]	London	11
[[Rouen]	Rouen	11
[Holland	Amsterdam	11
Printed at Glasgow	Glasgow	11
Printed at London, and re-printed at Edinburgh	London	11
Calcutta [India]	Calcutta	11
[Edinburgh, Scotland]	Edinburgh	11
London [England	London	11
[Bristol, England]	Bristol	11
Newcastle upon Tyne [England]	Newcastle	11
[Bath, England]	Bath	11
[Berwick?	berwick	10
[Canterbury?]	Canterbury	10
[Whitehaven]	Whitehaven	10
[Alnwick?	Alnwick	10
[Preston]	Preston	10
[Dumfries?	Dumfries	10
Plymouth-Dock	Plymouth	10
[Wilmington, Del.?	Wilmington De	10
[United States?]	United States	10
Catskill [N.Y.]	catskill ny	10
Columbia [S.C.]	Columbia SC	10
New-London [Conn]	New London CT	10
Printed at Wrentham, Massachusetts	Boston MA	10
[Alexandria, Va.	AlexandriaVA	10
Wiscasset [Me.]	wiscasset me	10
Worcester, Massachusetts	Worcester MA	10
Cooperstown [N.Y.]	cooperstown ny	10
Woodbridge, in New Jersey	Woodbridge NJ	10
Brooklyn [N.Y.]	New York NY	10
Fish-kill [N.Y.]	Fishkill NY	10
[Richmond]	Richmond	10
New-Haven.	New Haven MA	10
Printed at Dover [N.H.]	Dover NH	10
[Halifax, N.C.	Halifax NC	10
Charles-Town [i.e., Charleston, S.C.]	Charleston SC	10
Elizabethtown [N.J.]	elizabethtown nj	10
Hanover [N.H.]	Hanover NH	10
Printed at Litchfield [Conn.]	Litchfield CT	10
[Chelmsford]	Chelmsford	10
[Wakefield?	Wakefield	10
[Shrewsbury?]	Shrewsbury	10
La Haye	The Hague	10
[Carmarthen]	Carmarthen	10
[Guildford?	guildford	10
[Sherborne?]	Sherborne	10
Saint Jago de la Vega, Jamaica	Kingston Jamaica	10
Bath [i.e. London]	London	10
Edinburgh [i.e. London?]	London	10
