original	polished	Count
Forbes of Pitsligo, Alexander Forbes	Forbes Of Pitsligo, Alexander	10
Symons, William.	Symons, William	10
Cooper, Maria Susanna.	Cooper, Maria Susanna	10
Dowling, Daniel.	Dowling, Daniel	10
Keppel, Augustus Keppel	Keppel, Augustus	10
Mason, Charlotte.	Mason, Charlotte	10
Brightly, Richard.	Brightly, Richard	10
Colliber, Samuel.	Colliber, Samuel	10
Hamilton, Elizabeth Hamilton	Hamilton, Elizabeth	10
Bean, James.	Bean, James	10
Weld, Matthew.	Weld, Matthew	10
Cheneau, François.	Cheneau, François	10
Satis, George.	Satis, George	10
Foster, E. M.	Foster, E. M	10
Eyre, Henry.	Eyre, Henry	10
Trowell, Samuel.	Trowell, Samuel	10
Beloe, William.	Beloe, William	10
Denniston, Walter.	Denniston, Walter	10
Falck, N. D.	Falck, N. D	10
Maculla, James.	Maculla, James	10
Noorthouck, Harmen.	Noorthouck, Harmen	10
Lesly, Anne.	Lesly, Anne	10
Lacam, Benjamin.	Lacam, Benjamin	10
Honeyman, Patrick.	Honeyman, Patrick	10
Peter, Charles.	Peter, Charles	10
Clinker, Humphrey.	Clinker, Humphrey	10
Vernon, John.	Vernon, John	10
Burne, Nicol.	Burne, Nicol	10
Williams, William Bell.	Williams, William Bell	10
Perkins, William.	Perkins, William	10
Fennor, William.	Fennor, William	10
Pricket, Robert.	Pricket, Robert	10
Barriffe, William.	Barriffe, William	10
Goring, George Goring	Goring, George	10
Neve, Robert.	Neve, Robert	10
Nendick, Humphrey.	Nendick, Humphrey	10
Dary, Michael.	Dary, Michael	10
Chamberlayne, Thomas.	Chamberlayne, Thomas	10
Ellis, Tobias.	Ellis, Tobias	10
Jasz-Berenyi, Paul P.	Jasz-berenyi, Paul P	10
Peter, John.	Peter, John	10
Harby, Thomas.	Harby, Thomas	10
Blackwood, Christopher.	Blackwood, Christopher	10
Gordon, W.	Gordon, W	9
Fage, Robert.	Fage, Robert	9
Atwood, G.	Atwood, G	9
Swift, Charles.	Swift, Charles	9
Wilkinson, Rebecca.	Wilkinson, Rebecca	9
Observator.	Observator	9
Sinclair, Katherine.	Sinclair, Katherine	9
Swallow, Thomas.	Swallow, Thomas	9
Branscomb, James.	Branscomb, James	9
Page, T.	Page, T	9
Matthews, William.	Matthews, William	9
Deletanville, Thomas.	Deletanville, Thomas	9
Welwood, Andrew.	Welwood, Andrew	9
Hallifax, Charles.	Hallifax, Charles	9
Marius, John.	Marius, John	9
Hough, Roger.	Hough, Roger	9
Strong, Nathaniel.	Strong, Nathaniel	9
Bishop, Abraham.	Bishop, Abraham	9
Dixon, Henry.	Dixon, Henry	9
Briggs, Richard.	Briggs, Richard	9
Harlow, Lawrence.	Harlow, Lawrence	9
Dumaniant, M.	Dumaniant, M	9
Smith, John.	Smith, John	9
Baliol, Margaret.	Baliol, Margaret	9
Tagg, Tommy.	Tagg, Tommy	9
Bisset, J.	Bisset, J	9
Lambe, Aaron.	Lambe, Aaron	9
Hubbart, Francis.	Hubbart, Francis	9
Stevenson, Henry.	Stevenson, Henry	9
