pages.total	pages.original	count
106	106p.	3
400	[2],398p.	3
8	viiip.	3
216	[4], 212 p.	3
212	212p.	3
98	[2],96p.	3
116	viii,[108]p.	3
176	viii,[108],60p.	3
324	xi,[1],311,[1]p.	3
168	xi,[1],155,[1]p.	3
328	xvi,312p.	3
234	iv,230p.	3
320	viii,311,[1]p.	3
176	vi,[110],60p.	3
48	[2],vi,39,[1]p.	3
111	xi,[1],98,93,[1]p.	3
56	[4], 50, [2] p.	3
8	7, [1]p.	3
96	94, [2] p.	3
44	viii,36p.	3
134	134p.	3
256	[256] p.	3
26	[2], 21, [3] p.	3
152	[152] p.	3
50	[50] p.	3
72	[6], 65, [1] p.	3
