ESTC	geonameid	name	asciiname	latitude	longitude	country.code	admin1	admin2	admin3	admin4	population	timezone
Ghent	2797656	Gent	Gent	51.05	3.71667	BE	VLG	VOV	44	44021	231493	Europe/Brussels
Glasgow	2646032	Irvine	Irvine	55.86515	-4.25763	GB	ENG	E4	22UG		109414	Europe/London
Glocester	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glocester Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gloucester	2165159	Gloucester	Gloucester	51.86568	-2.2431	AU	02	13050			3103	Australia/Sydney
Goa	1712808	Goa	Goa	13.6978	123.4892	PH	05	16	1712809		20936	Asia/Manila
Gothenburg	5695743	Gothenburg	Gothenburg	57.70716	11.96679	US	NE	047			3574	America/Chicago
Gouda	2755420	Gouda	Gouda	52.01667	4.70833	NL	11	0513			71952	Europe/Amsterdam
Grantham	5086792	Grantham	Grantham	43.48952	-72.13759	US	NH	019			2308	America/New_York
Gravesend	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Greenfield Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Greenock	5192000	Greenock	Greenock	55.94838	-4.76121	US	PA	003			2195	America/New_York
Grenada	4428539	Grenada	Grenada	33.769	-89.80842	US	MS	043			13092	America/Chicago
Guernesey	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Haarlem	2755003	Haarlem	Haarlem	52.38084	4.63683	NL	07	0392			147590	Europe/Amsterdam
Hagerstown Md	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Halifax	6324729	Halifax	Halifax	44.64533	-63.57239	CA	07				359111	America/Halifax
Halifax N.S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Halle	2796696	Halle	Halle	50.73385	4.23454	BE	VLG	VBR	23	23027	34479	Europe/Brussels
Hamburg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hanover	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Harlow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Harrisburgh Pa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hartford Ct	4700168	Irving	Irving	42.07732	-71.62951	US	MA	027			12614	America/New_York
Haverhill Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heidelberg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hereford	5523074	Hereford	Hereford	34.81521	-102.39932	US	TX	117			15370	America/Chicago
Hertford	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hillsborough N.C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Horncastle	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Houghton Park	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Howden	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hull	2645425	Hull	Hull	53.7446	-0.33525	GB	ENG	G6			302296	Europe/London
Inverlochie	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ipswich	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kelso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kendal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kilkenny	2963398	Kilkenny	Kilkenny	52.65417	-7.25222	IE	L	13			21589	Europe/Dublin
Kilmarnock	2645605	Kilmarnock	Kilmarnock	55.61171	-4.49581	GB	SCT	U4			42904	Europe/London
King's Lynn	2645456	King's Lynn	King's Lynn	52.75172	0.39516	GB	ENG	I9	33UE		34564	Europe/London
Kingston	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kingston Jamaica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kingston N.Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kirkcudbright	2645287	Kirkcudbright	Kirkcudbright	54.8383	-4.04908	GB	SCT	U2			3367	Europe/London
Knaresborough	2645163	Knaresborough	Knaresborough	54.0091	-1.46851	GB	ENG	J7	36UD		14740	Europe/London
Knoxville Tn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Koningsberg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
La Rochelle	3006787	La Rochelle	La Rochelle	46.16667	-1.15	FR	B7	17	173	17300	76810	Europe/Paris
Lancaster Pa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lausanne	2659994	Lausanne	Lausanne	46.516	6.63282	CH	VD	2225	5586		116751	Europe/Zurich
Leeds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Leeuwarden	2751792	Leeuwarden	Leeuwarden	53.20139	5.80859	NL	02	0080			91424	Europe/Amsterdam
Leicester	2644668	Leicester	Leicester	52.6386	-1.13169	GB	ENG	H4	31UC		339239	Europe/London
Leiden	2751773	Leiden	Leiden	52.15833	4.49306	NL	11	0546			119713	Europe/Amsterdam
Leipzig	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Leominster Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lewes	2644559	Lewes	Lewes	50.8742	0.00772	GB	ENG	E2	21UF		16479	Europe/London
Lexington Ky	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Liege	2792413	Liège	Liege	50.63373	5.56749	BE	WAL	WLG	62	62063	182597	Europe/Brussels
Lille	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Limerick	4969529	Limerick	Limerick	52.66472	-8.62306	US	ME	031			2329	America/New_York
Lincoln	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Litchfield Ct	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Liverpool	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
London	2643743	London	London	51.50853	-0.12574	GB	ENG	GLA			7556900	Europe/London
Londonderry	5088905	Londonderry	Londonderry	54.9981	-7.30934	US	NH	015			11037	America/New_York
Louvain	2792482	Leuven	Leuven	50.87959	4.70093	BE	VLG	VBR	24	24062	92892	Europe/Brussels
Ludlow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lyon	2996944	Lyon	Lyon	45.74846	4.84671	FR	B9	69	691	69123	472317	Europe/Paris
Macclesfield	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Madras India	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Maidstone	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Manchester	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Margate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Marlborough	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Martinsburg Va	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mechelen	2791537	Mechelen	Mechelen	51.02574	4.47762	BE	VLG	VAN	12	12025	77530	Europe/Brussels
Medford Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
